ma_id,review_id,k,total_n,estimate,p_value,significant,pi_crosses_null,robustness,n_audit_fails,has_pub_bias,verdict,failed_criteria
CD009749_pub3_data__A5,CD009749,13,1886,0.157055,0.224079,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD009749_pub3_data__A6,CD009749,16,1152,0.740918,0.000943,True,False,Robust,0,False,ACTIONABLE,
CD009749_pub3_data__A7,CD009749,11,788,0.473066,0.380171,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD009749_pub3_data__A8,CD009749,10,879,1.265642,0.035489,True,False,Robust,1,True,NOT YET,audit_flags;pub_bias
CD009749_pub3_data__A9,CD009749,4,262,1.36535,0.190463,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD009749_pub3_data__A10,CD009749,25,3906,0.059375,0.570196,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD009752_pub3_data__A1,CD009752,10,990,-0.269495,0.512156,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD009752_pub3_data__A2,CD009752,7,687,-0.217655,0.422661,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD009752_pub3_data__A3,CD009752,6,778,-0.277107,0.298209,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD009752_pub3_data__A4,CD009752,4,419,0.053712,0.847653,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD009752_pub3_data__A5,CD009752,3,348,0.080351,0.864463,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD009752_pub3_data__A6,CD009752,2,324,0.345869,0.66817,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD009752_pub3_data__A7,CD009752,3,303,-0.497054,0.690899,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD009752_pub3_data__A8,CD009752,3,360,-0.242543,0.554794,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD009752_pub3_data__A9,CD009752,5,582,0.497168,0.545239,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD009752_pub3_data__A10,CD009752,6,603,-0.001022,0.999057,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD009752_pub3_data__A11,CD009752,3,207,-3.712958,0.165646,False,True,not_covered,1,False,NOT YET,significance;prediction_interval;audit_flags;evidence_volume
CD009752_pub3_data__A12,CD009752,3,201,0.702904,0.437042,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD009752_pub3_data__A13,CD009752,2,141,0.200238,0.812302,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD009752_pub3_data__A14,CD009752,4,202,0.0,1.0,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD009752_pub3_data__A15,CD009752,2,123,0.009481,0.995802,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD009752_pub3_data__A16,CD009752,3,190,-0.05098,0.969172,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD009752_pub3_data__A17,CD009752,4,250,-0.038158,0.972269,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD009752_pub3_data__A18,CD009752,2,82,0.0,1.0,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD009752_pub3_data__A19,CD009752,3,98,0.0,1.0,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD009752_pub3_data__A20,CD009752,1,22,0.0,1.0,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD009752_pub3_data__A21,CD009752,1,22,0.0,1.0,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD009752_pub3_data__A22,CD009752,2,36,0.0,1.0,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD009752_pub3_data__A23,CD009752,1,20,0.0,1.0,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD009788_pub3_data__A1,CD009788,4,462,0.106958,0.892904,False,True,Unstable,1,False,NOT YET,significance;prediction_interval;robustness;audit_flags;evidence_volume
CD009788_pub3_data__A2,CD009788,4,437,-0.046315,0.966166,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD009788_pub3_data__A3,CD009788,1,76,2.623531,0.000134,False,False,Unstable,0,False,NOT YET,significance;robustness;evidence_volume
CD009788_pub3_data__A4,CD009788,1,362,-0.06614,0.973655,False,False,Unstable,0,False,NOT YET,significance;robustness;evidence_volume
CD009788_pub3_data__A5,CD009788,1,323,-0.08029,0.968027,False,False,Unstable,0,False,NOT YET,significance;robustness;evidence_volume
CD009788_pub3_data__A6,CD009788,1,323,-0.08029,0.968027,False,False,Unstable,0,False,NOT YET,significance;robustness;evidence_volume
CD009788_pub3_data__A7,CD009788,2,93,-0.171076,0.822334,False,False,Unstable,0,False,NOT YET,significance;robustness;evidence_volume
CD009788_pub3_data__A8,CD009788,2,118,-0.06788,0.969718,False,False,Unstable,0,False,NOT YET,significance;robustness;evidence_volume
CD009788_pub3_data__A9,CD009788,7,1266,-0.008755,0.991192,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD009788_pub3_data__A10,CD009788,4,784,-0.038255,0.972066,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD009788_pub3_data__A11,CD009788,5,868,-0.538927,0.060945,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD009945_pub3_data__A1,CD009945,3,172,1.08015,0.135312,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD009945_pub3_data__A2,CD009945,3,172,-0.039056,0.962052,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD009945_pub3_data__A3,CD009945,1,66,0.492476,0.364923,False,False,Unstable,0,False,NOT YET,significance;robustness;evidence_volume
CD010001_pub4_data__A1,CD010001,38,4030,0.433468,8e-06,True,False,Fragile,1,True,NOT YET,robustness;audit_flags;pub_bias
CD010001_pub4_data__A2,CD010001,43,3812,0.811262,1e-06,True,False,Fragile,1,True,NOT YET,robustness;audit_flags;pub_bias
CD010001_pub4_data__A3,CD010001,53,4820,0.681833,0.0,True,True,Fragile,2,False,NOT YET,prediction_interval;robustness;audit_flags
CD010001_pub4_data__A4,CD010001,53,4950,0.486424,1e-06,True,False,Fragile,0,False,NOT YET,robustness
CD010001_pub4_data__A5,CD010001,33,2698,0.452079,0.039251,True,False,Fragile,1,True,NOT YET,robustness;audit_flags;pub_bias
CD010001_pub4_data__A6,CD010001,23,2411,0.082225,0.70637,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010136_pub4_data__A1,CD010136,3,133,-0.521387,0.565074,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010136_pub4_data__A2,CD010136,3,133,-0.202885,0.701758,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010136_pub4_data__A3,CD010136,2,61,0.072369,0.968015,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A4,CD010136,1,41,0.143101,0.943629,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A5,CD010136,2,62,0.117309,0.948198,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A6,CD010136,2,61,0.072369,0.968015,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A7,CD010136,2,61,0.072369,0.968015,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A8,CD010136,1,41,0.143101,0.943629,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A9,CD010136,1,41,0.143101,0.943629,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A10,CD010136,1,41,0.143101,0.943629,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A11,CD010136,1,41,0.143101,0.943629,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A12,CD010136,1,41,0.143101,0.943629,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A13,CD010136,1,19,-1.498212,0.354922,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A14,CD010136,1,41,0.143101,0.943629,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010136_pub4_data__A15,CD010136,1,41,0.143101,0.943629,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010145_pub2_data__A1,CD010145,5,363,0.877817,0.135595,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010145_pub2_data__A2,CD010145,12,1494,-1.221929,1e-06,True,False,Moderate,0,False,ACTIONABLE,
CD010145_pub2_data__A3,CD010145,8,837,-0.306255,0.098792,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010145_pub2_data__A4,CD010145,8,699,1.194166,0.001052,True,False,Moderate,0,False,ACTIONABLE,
CD010145_pub2_data__A5,CD010145,5,1149,0.850568,0.105932,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010145_pub2_data__A6,CD010145,5,784,1.64264,0.072174,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010145_pub2_data__A7,CD010145,4,349,0.119274,0.804015,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010145_pub2_data__A8,CD010145,4,335,-0.238963,0.458395,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010145_pub2_data__A9,CD010145,4,343,0.427227,0.350865,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010145_pub2_data__A10,CD010145,4,348,0.364472,0.534187,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010145_pub2_data__A11,CD010145,5,395,0.540232,0.564869,False,True,Moderate,1,False,NOT YET,significance;prediction_interval;audit_flags;evidence_volume
CD010145_pub2_data__A12,CD010145,3,791,-0.562955,0.598897,False,True,Moderate,1,False,NOT YET,significance;prediction_interval;audit_flags;evidence_volume
CD010145_pub2_data__A13,CD010145,3,823,-0.005615,0.974273,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010145_pub2_data__A14,CD010145,3,167,0.339667,0.666372,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010145_pub2_data__A15,CD010145,2,88,-0.162148,0.915377,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD010145_pub2_data__A16,CD010145,2,88,-0.302782,0.644139,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD010145_pub2_data__A17,CD010145,2,88,0.204607,0.756445,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD010145_pub2_data__A18,CD010145,15,3466,0.881555,0.01753,True,False,Moderate,0,False,ACTIONABLE,
CD010145_pub2_data__A19,CD010145,15,3502,0.850372,2.3e-05,True,False,Moderate,2,True,NOT YET,audit_flags;pub_bias
CD010145_pub2_data__A20,CD010145,12,3282,0.589919,0.010815,True,True,Moderate,2,False,NOT YET,prediction_interval;audit_flags
CD010145_pub2_data__A21,CD010145,12,3282,-1.312413,0.0,True,False,Moderate,0,False,ACTIONABLE,
CD010145_pub2_data__A22,CD010145,5,470,1.36004,0.002967,True,False,Moderate,1,False,NOT YET,audit_flags;evidence_volume
CD010163_pub3_data__A1,CD010163,2,100,0.499057,0.75314,False,False,not_covered,1,False,NOT YET,significance;audit_flags;evidence_volume
CD010163_pub3_data__A2,CD010163,1,50,-1.773067,0.260418,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010163_pub3_data__A3,CD010163,2,100,-0.275706,0.757501,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010189_pub3_data__A1,CD010189,6,1330,-0.037392,0.965435,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010189_pub3_data__A2,CD010189,6,1225,-0.04871,0.954975,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010189_pub3_data__A3,CD010189,3,758,-0.041208,0.974873,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD010189_pub3_data__A4,CD010189,4,765,-0.066428,0.951453,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD010189_pub3_data__A5,CD010189,3,925,-0.067366,0.958865,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD010189_pub3_data__A6,CD010189,4,1121,-0.014007,0.989747,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD010189_pub3_data__A7,CD010189,3,737,-0.024884,0.984845,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD010189_pub3_data__A8,CD010189,4,333,-0.020731,0.984926,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD010189_pub3_data__A9,CD010189,5,662,-0.020213,0.983203,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010189_pub3_data__A10,CD010189,6,1330,-0.037392,0.965435,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010216_pub9_data__A1,CD010216,45,18782,0.451689,3e-06,True,True,Moderate,4,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD010216_pub9_data__A2,CD010216,32,10095,0.188342,0.078229,False,True,Moderate,1,False,NOT YET,significance;prediction_interval;audit_flags
CD010216_pub9_data__A3,CD010216,43,13912,0.032611,0.733197,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010216_pub9_data__A4,CD010216,30,3472,0.178588,0.52754,False,True,Moderate,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD010216_pub9_data__A5,CD010216,6,575,-0.062282,0.942562,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010216_pub9_data__A6,CD010216,8,785,-0.143093,0.846465,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010216_pub9_data__A7,CD010216,6,469,-0.100422,0.907604,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010216_pub9_data__A8,CD010216,6,772,-0.146077,0.852991,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010216_pub9_data__A9,CD010216,8,1348,-0.503886,0.501092,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010216_pub9_data__A10,CD010216,5,654,-0.185104,0.846805,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010216_pub9_data__A11,CD010216,7,1227,0.204984,0.238262,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010216_pub9_data__A12,CD010216,3,457,0.388488,0.258131,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010216_pub9_data__A13,CD010216,2,201,-0.338194,0.851313,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD010216_pub9_data__A14,CD010216,2,199,-0.357293,0.84325,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD010216_pub9_data__A15,CD010216,3,465,-0.618758,0.648901,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010216_pub9_data__A16,CD010216,4,795,-0.615726,0.58457,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010216_pub9_data__A17,CD010216,3,610,-0.607826,0.652579,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010216_pub9_data__A18,CD010216,7,2022,1.012929,0.082094,False,True,Moderate,1,False,NOT YET,significance;prediction_interval;audit_flags
CD010216_pub9_data__A19,CD010216,1,327,-0.609671,0.760878,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD010290_pub4_data__A1,CD010290,9,1265,0.333798,0.03073,True,False,Robust,0,False,ACTIONABLE,
CD010290_pub4_data__A2,CD010290,10,1288,0.197894,0.369323,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010290_pub4_data__A3,CD010290,13,2151,0.432994,0.008163,True,False,Robust,1,True,NOT YET,audit_flags;pub_bias
CD010290_pub4_data__A4,CD010290,13,1750,-0.03729,0.87311,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010290_pub4_data__A5,CD010290,11,2089,0.138502,0.289303,False,True,Robust,1,False,NOT YET,significance;prediction_interval;audit_flags
CD010290_pub4_data__A6,CD010290,11,1029,-0.283664,0.426766,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010290_pub4_data__A7,CD010290,10,1710,0.279178,0.312283,False,True,Robust,2,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD010290_pub4_data__A8,CD010290,4,891,0.474993,0.450085,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010290_pub4_data__A9,CD010290,14,1972,0.407145,0.197223,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010290_pub4_data__A10,CD010290,10,1809,0.386738,0.031921,True,False,Robust,1,True,NOT YET,audit_flags;pub_bias
CD010290_pub4_data__A11,CD010290,7,1783,0.382985,0.047363,True,True,Robust,1,False,NOT YET,prediction_interval;audit_flags
CD010290_pub4_data__A12,CD010290,3,996,0.124491,0.672468,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010290_pub4_data__A13,CD010290,6,1166,0.140214,0.558652,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010290_pub4_data__A14,CD010290,5,505,0.220571,0.516004,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010290_pub4_data__A15,CD010290,4,768,0.090265,0.868019,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010290_pub4_data__A16,CD010290,8,1368,-0.171588,0.637716,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010290_pub4_data__A17,CD010290,8,1368,-0.171588,0.637716,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010333_pub4_data__A1,CD010333,1,12,1.265666,0.465116,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010333_pub4_data__A2,CD010333,1,12,0.0,1.0,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010333_pub4_data__A3,CD010333,1,21,2.014903,0.097421,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010333_pub4_data__A4,CD010333,1,34,1.014352,0.206239,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010333_pub4_data__A5,CD010333,1,14,0.0,1.0,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010333_pub4_data__A6,CD010333,1,14,0.0,1.0,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010333_pub4_data__A7,CD010333,1,24,0.160343,0.937347,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010333_pub4_data__A8,CD010333,1,24,0.160343,0.937347,False,False,not_covered,0,False,NOT YET,significance;evidence_volume
CD010441_pub3_data__A1,CD010441,6,799,-0.877844,0.025198,True,True,Robust,2,False,NOT YET,prediction_interval;audit_flags
CD010441_pub3_data__A2,CD010441,6,800,-0.384239,0.249852,False,True,Robust,1,False,NOT YET,significance;prediction_interval;audit_flags
CD010441_pub3_data__A3,CD010441,6,714,-0.458856,0.247896,False,True,Robust,1,False,NOT YET,significance;prediction_interval;audit_flags
CD010441_pub3_data__A4,CD010441,6,799,-0.480444,0.374197,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010441_pub3_data__A5,CD010441,3,442,-0.051982,0.841862,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010441_pub3_data__A6,CD010441,3,442,-1.042695,0.076297,False,True,Robust,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010441_pub3_data__A7,CD010441,2,287,0.988216,0.569297,False,False,Robust,0,False,NOT YET,significance;evidence_volume
CD010533_pub3_data__A1,CD010533,22,11448,-0.022203,0.956539,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD010533_pub3_data__A2,CD010533,21,11306,0.014131,0.974525,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD010533_pub3_data__A3,CD010533,17,11370,-0.361377,0.1376,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD010533_pub3_data__A4,CD010533,10,7602,-0.202354,0.213033,False,True,Unstable,1,False,NOT YET,significance;prediction_interval;robustness;audit_flags
CD010533_pub3_data__A5,CD010533,10,7617,-0.087765,0.489144,False,True,Unstable,0,False,NOT YET,significance;prediction_interval;robustness
CD010533_pub3_data__A6,CD010533,1,148,0.359236,0.28612,False,False,Unstable,0,False,NOT YET,significance;robustness;evidence_volume
CD010533_pub3_data__A7,CD010533,2,582,-0.400216,0.540554,False,False,Unstable,0,False,NOT YET,significance;robustness;evidence_volume
CD010583_pub6_data__A1,CD010583,9,2036,-0.325696,0.413684,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010583_pub6_data__A2,CD010583,8,1479,-0.601261,0.052352,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010583_pub6_data__A3,CD010583,9,2036,0.10115,0.678529,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010583_pub6_data__A4,CD010583,8,1895,-0.139655,0.577811,False,True,Moderate,1,False,NOT YET,significance;prediction_interval;audit_flags
CD010583_pub6_data__A5,CD010583,10,2156,0.081012,0.658094,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010583_pub6_data__A6,CD010583,9,2015,-0.166063,0.59821,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010583_pub6_data__A7,CD010583,8,1876,0.250282,0.18239,False,True,Moderate,0,False,NOT YET,significance;prediction_interval
CD010583_pub6_data__A8,CD010583,4,948,-0.069885,0.872922,False,True,Moderate,1,False,NOT YET,significance;prediction_interval;audit_flags;evidence_volume
CD010779_pub2_data__A1,CD010779,4,256,0.01602,0.988319,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010779_pub2_data__A2,CD010779,9,357,-0.076135,0.91302,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010779_pub2_data__A3,CD010779,1,81,0.073203,0.970979,False,False,Moderate,0,False,NOT YET,significance;evidence_volume
CD010779_pub2_data__A4,CD010779,3,168,-0.018856,0.988562,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010779_pub2_data__A5,CD010779,3,126,0.0,1.0,False,True,Moderate,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010856_pub3_data__A1,CD010856,7,8617,-0.223191,0.777882,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010856_pub3_data__A2,CD010856,7,8479,-0.062917,0.936434,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010856_pub3_data__A3,CD010856,1,343,0.322535,0.872072,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD010856_pub3_data__A4,CD010856,7,9186,-0.231865,0.76953,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010856_pub3_data__A5,CD010856,6,8567,-0.237481,0.782946,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010856_pub3_data__A6,CD010856,11,24142,-0.34653,0.578424,False,True,Fragile,1,True,NOT YET,significance;prediction_interval;robustness;audit_flags;pub_bias
CD010856_pub3_data__A7,CD010856,12,43240,-0.093071,0.874931,False,True,Fragile,1,True,NOT YET,significance;prediction_interval;robustness;audit_flags;pub_bias
CD010856_pub3_data__A8,CD010856,12,21991,-0.394806,0.508446,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010856_pub3_data__A9,CD010856,9,27961,-0.255072,0.712077,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness
CD010856_pub3_data__A10,CD010856,2,2825,-0.02147,0.990339,False,False,Fragile,0,False,NOT YET,significance;robustness;evidence_volume
CD010856_pub3_data__A11,CD010856,4,4056,-0.141819,0.89628,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD010856_pub3_data__A12,CD010856,3,2271,0.13467,0.917881,False,True,Fragile,0,False,NOT YET,significance;prediction_interval;robustness;evidence_volume
CD010861_pub3_data__A1,CD010861,18,2510,0.134416,0.742775,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD010861_pub3_data__A2,CD010861,12,2176,1.389309,0.009284,True,False,not_covered,1,True,NOT YET,audit_flags;pub_bias
CD010861_pub3_data__A3,CD010861,17,3264,0.486018,0.306211,False,True,not_covered,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD010861_pub3_data__A4,CD010861,5,1579,-0.071647,0.820419,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD010861_pub3_data__A5,CD010861,6,1139,-0.169363,0.863469,False,True,not_covered,2,False,NOT YET,significance;prediction_interval;audit_flags
CD010861_pub3_data__A6,CD010861,9,1308,-0.041763,0.865533,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD010861_pub3_data__A7,CD010861,14,1843,1.305386,0.015453,True,True,not_covered,2,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD010861_pub3_data__A8,CD010861,4,1518,0.103445,0.811718,False,True,not_covered,0,False,NOT YET,significance;prediction_interval;evidence_volume
CD010861_pub3_data__A9,CD010861,12,2878,0.244264,0.66781,False,True,not_covered,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD010861_pub3_data__A10,CD010861,5,683,1.515702,0.104939,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD010861_pub3_data__A11,CD010861,6,1212,1.62785,0.054134,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD010861_pub3_data__A12,CD010861,10,1798,-1.932676,0.000219,True,False,not_covered,0,False,ACTIONABLE,
CD010861_pub3_data__A13,CD010861,8,1303,-1.550235,0.005074,True,False,not_covered,0,False,ACTIONABLE,
CD010861_pub3_data__A14,CD010861,5,797,-0.750379,0.368934,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD010861_pub3_data__A15,CD010861,5,938,-0.287292,0.673069,False,True,not_covered,0,False,NOT YET,significance;prediction_interval
CD010861_pub3_data__A16,CD010861,7,756,0.477886,0.089621,False,True,not_covered,1,False,NOT YET,significance;prediction_interval;audit_flags
CD010861_pub3_data__A17,CD010861,6,666,0.936641,0.039271,True,True,not_covered,2,False,NOT YET,prediction_interval;audit_flags
CD010861_pub3_data__A18,CD010861,9,1333,0.682448,0.019203,True,True,not_covered,2,False,NOT YET,prediction_interval;audit_flags
CD010966_pub4_data__A1,CD010966,65,7665,-0.20775,0.385307,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010966_pub4_data__A2,CD010966,141,11017,-0.102162,0.338231,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD010966_pub4_data__A3,CD010966,121,9110,-0.168393,0.134032,False,True,Robust,0,False,NOT YET,significance;prediction_interval
CD010966_pub4_data__A4,CD010966,451,16573,-0.077816,0.195233,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD010966_pub4_data__A5,CD010966,112,9910,-0.098876,0.41237,False,True,Robust,1,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
CD010966_pub4_data__A6,CD010966,191,64904,-0.127489,0.006773,True,True,Robust,4,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD010966_pub4_data__A7,CD010966,15,3828,-1.29687,0.01133,True,True,Robust,3,True,NOT YET,prediction_interval;audit_flags;pub_bias
CD010966_pub4_data__A8,CD010966,16,5442,-0.919739,0.007794,True,False,Robust,2,True,NOT YET,audit_flags;pub_bias
CD010966_pub4_data__A9,CD010966,11,3377,-0.036789,0.953768,False,True,Robust,1,False,NOT YET,significance;prediction_interval;audit_flags
CD010966_pub4_data__A10,CD010966,13,4483,0.018996,0.973295,False,True,Robust,2,True,NOT YET,significance;prediction_interval;audit_flags;pub_bias
